experiment,alpha,total_guess,total_exp,total_guess_p
15mmol_20C,1.0,9,14,0.6428571428571429
15mmol_20C,1.25,9,14,0.6428571428571429
15mmol_20C,1.5,9,14,0.6428571428571429
15mmol_20C,1.6,9,14,0.6428571428571429
15mmol_20C,1.7,9,14,0.6428571428571429
15mmol_20C,1.75,9,14,0.6428571428571429
15mmol_20C,1.8,9,14,0.6428571428571429
15mmol_20C,1.9,9,14,0.6428571428571429
15mmol_20C,2.0,9,14,0.6428571428571429
15mmol_20C,2.25,9,14,0.6428571428571429
15mmol_20C,2.5,9,14,0.6428571428571429
15mmol_20C,2.75,8,14,0.5714285714285714
15mmol_20C,3.0,9,14,0.6428571428571429
15mmol_20C,3.5,8,14,0.5714285714285714
15mmol_20C,4.0,8,14,0.5714285714285714
15mmol_20C,5.0,8,14,0.5714285714285714
